Home: Maritimo |0 : 1| U. Madeira
Home: Academica |1 : 1| Paços Ferreira
Home: Sporting |2 : 2| Tondela
Home: Paços Ferreira |2 : 1| Vitória Setúbal
Home: Nacional |1 : 4| Benfica
Home: Boavista |0 : 5| FC Porto
Home: Academica |2 : 1| Tondela
Home: Estoril |2 : 0| Belenenses
Home: Maritimo |5 : 1| Moreirense
Home: Rio Ave |1 : 0| U. Madeira
Home: Sporting |3 : 2| Braga
Home: Vitória Guimarães |2 : 2| Arouca
Home: FC Porto |1 : 1| Rio Ave
Home: Vitória Setúbal |0 : 6| Sporting
Home: Benfica |6 : 0| Maritimo
Home: Braga |3 : 0| Academica
Home: Belenenses |2 : 2| Nacional
Home: Moreirense |3 : 4| Vitória Guimarães
Home: Arouca |1 : 0| Estoril
Home: Tondela |0 : 2| Paços Ferreira
Home: U. Madeira |1 : 0| Boavista
Home: Rio Ave |2 : 3| Tondela
Home: Sporting |2 : 0| FC Porto
Home: Vitória Guimarães |0 : 1| Benfica
Home: Paços Ferreira |2 : 2| Belenenses
Home: Vitória Setúbal |1 : 1| Braga
Home: Academica |3 : 1| U. Madeira
Home: Boavista |0 : 3| Moreirense
Home: Maritimo |1 : 1| Estoril
Home: Nacional |2 : 2| Arouca
Home: Braga |1 : 1| Paços Ferreira
Home: Belenenses |1 : 0| Boavista
Home: FC Porto |3 : 1| Academica
Home: U. Madeira |1 : 0| Sporting
Home: Benfica |3 : 1| Rio Ave
Home: Moreirense |2 : 0| Nacional
Home: Tondela |1 : 3| Vitória Setúbal
Home: Estoril |0 : 1| Vitória Guimarães
Home: Arouca |4 : 1| Maritimo
Home: U. Madeira |0 : 0| Benfica
Home: Academica |4 : 3| Belenenses
Home: Nacional |1 : 2| FC Porto
Home: Tondela |0 : 1| Braga
Home: Sporting |3 : 1| Moreirense
Home: Vitória Setúbal |2 : 4| Benfica
Home: Vitória Guimarães |3 : 4| Maritimo
Home: Paços Ferreira |6 : 0| U. Madeira
Home: Rio Ave |3 : 1| Arouca
Home: Boavista |1 : 1| Estoril
Home: Vitória Guimarães |3 : 1| Rio Ave
Home: Moreirense |0 : 0| Braga
Home: Arouca |3 : 2| Boavista
Home: Estoril |1 : 1| Nacional
Home: U. Madeira |2 : 0| Tondela
Home: Maritimo |0 : 1| Sporting
Home: FC Porto |2 : 1| Paços Ferreira
Home: Belenenses |0 : 3| Vitória Setúbal
Home: Benfica |3 : 0| Academica
Home: U. Madeira |0 : 4| FC Porto
Home: Braga |0 : 2| Benfica
Home: Sporting |1 : 0| Belenenses
Home: Paços Ferreira |2 : 0| Estoril
Home: Academica |1 : 1| Arouca
Home: Rio Ave |0 : 1| Moreirense
Home: Tondela |0 : 1| FC Porto
